"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"cinnamoylglycine","Cinnamoylglycine","HMDB0011621","709625","68616",NA,NA,"OC(=O)CNC(=O)\C=C\C1=CC=CC=C1","1"
"cis-4-decenoylcarnitine (C10:1)","NA","NA","NA","NA","NA","NA","NA","0"
"(16 or 17)-methylstearate (a19:0 or i19:0)","NA","NA","NA","NA","NA","NA","NA","0"
"2,3-dihydroxyisovalerate","NA","NA","NA","NA","NA","NA","NA","0"
"3-methylglutaconate","3-Methylglutaconic acid","HMDB0000522","1551553","37245",NA,"5507","C/C(=C\C(=O)O)/CC(=O)O","1"
"isoursodeoxycholate","Isoursodeoxycholic acid","HMDB0000686","127601","43419","C17662","5655","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@@H](C4)O)C)O)C","1"
"hydantoin-5-propionate","Hydantoin-5-propionic acid","HMDB0001212","782","28297","C05565","6084","C(CC(=O)O)C1C(=O)NC(=O)N1","1"
"sulfate","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"4-hydroxy-2-oxoglutaric acid","4-Hydroxy-2-oxoglutaric acid","HMDB0002070","599","30923","C01127","6471","OC(CC(=O)C(O)=O)C(O)=O","1"
"4-hydroxyglutamate","NA","NA","NA","NA","NA","NA","NA","0"
"S-methylcysteine","S-Methyl-L-cysteine","HMDB0002108","24417","45658","C22040","6490","CSC[C@@H](N)C(O)=O","1"
"androsterone glucuronide","Androsterone glucuronide","HMDB0002829","114833","28832","C11135","2796","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O","1"
"argininate","NA","NA","NA","NA","NA","NA","NA","0"
"2-oxoarginine","2-Oxoarginine","HMDB0004225","558","28116","C03771","7030","NC(N)=NCCCC(=O)C(O)=O","1"
"cis-4-decenoate (10:1n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-adrenoyl-GPC (22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPC (P-16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-methyl-5-imidazoleacetate","Pi-Methylimidazoleacetic acid","HMDB0004988","6451814","70966",NA,"7239","CN1C=NC=C1CC(O)=O","1"
"glycoursodeoxycholate","Glycoursodeoxycholic acid","HMDB0000708","12310288","542261",NA,"5676","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"S-methylcysteine sulfoxide","(S)C(S)S-S-Methylcysteine sulfoxide","HMDB0029432","82142",NA,NA,NA,"CS(=O)CC(N)C(O)=O","1"
"eicosanedioate (C20-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"docosadioate (C22-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"16-hydroxypalmitate","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-linoleoyl-glycerol (18:1/18:2) [1","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-linoleoyl-glycerol (18:1/18:2) [2","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-GPE (P-18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"2-stearoyl-GPI (18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"N-oleoyltaurine","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoylcarnitine (C18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"isoleucylglycine","Isoleucyl-Glycine","HMDB0028907","342532",NA,NA,NA,"CCC(C)C(N)C(=O)NCC(O)=O","1"
"carboxyethyl-GABA","N-Carboxyethyl-g-aminobutyric acid","HMDB0002201","2572",NA,NA,"6542","OC(=O)CCCNCCC(O)=O","1"
"beta-citrylglutamate","NA","NA","NA","NA","NA","NA","NA","0"
"trimethylamine N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","15724","C01104","5876","C[N+](C)(C)[O-]","1"
"imidazole propionate","Imidazolepropionic acid","HMDB0002271","70630","73087","C20522","6585","OC(=O)CCC1=CNC=N1","1"
"pregnanediol-3-glucuronide","Pregnanediol-3-glucuronide","HMDB0010318","123796",NA,"C03033",NA,"C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)C)O","1"
"N-palmitoylglycine","Palmitoylglycine","HMDB0013034","151008","479285",NA,NA,"CCCCCCCCCCCCCCCC(=O)NCC(=O)O","1"
"lanthionine","Lanthionine",NA,"98504",NA,NA,NA,NA,"1"
"2-stearoyl-GPE (18:0)","LysoPE(0:0/18:0)","HMDB0011129","53480667","133144",NA,NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN","1"
"(R)-3-hydroxybutyrylcarnitine","(R)-3-hydroxybutyrylcarnitine","HMDB0062735","90659885","84842",NA,NA,"[H]C(C)(O)CC(=O)O[C@]([H])(CC([O-])=O)C[N+](C)(C)C","1"
"N-acetylcarnosine","N-Acetylcarnosine","HMDB0012881","9903482",NA,NA,NA,"CC(=O)NCCC(=O)N[C@H](CC1=CN=CN1)C(O)=O","1"
"margaroylcarnitine (C17)","NA","NA","NA","NA","NA","NA","NA","0"
"glycohyocholate","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxydecanoate","2-Hydroxydecanoate","HMDB0094656","5312797","133172",NA,NA,"CCCCCCCCC(O)C(=O)O","1"
"4-methylcatechol sulfate","4-Methylcatechol 1-sulfate","HMDB0240459","54104170",NA,NA,NA,"CC1=CC(O)=C(OS(O)(=O)=O)C=C1","1"
"3-methyl catechol sulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"guaiacol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"2-aminooctanoate","DL-2-Aminooctanoic acid","HMDB0000991","69522","75145",NA,"5923","CCCCCCC(N)C(=O)O","1"
"2-piperidinone","2-Piperidinone","HMDB0011749","12665","77761",NA,NA,"O=C1CCCCN1","1"
"N-acetyl-1-methylhistidine","N-Acetyl-1-methylhistidine","HMDB0240340","53859791","133181",NA,NA,"CN1C=NC(C[C@H](NC(C)=O)C(O)=O)=C1","1"
"2-aminophenol sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/14:0, d16:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/16:0, d18:1/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"6-oxopiperidine-2-carboxylate","6-Oxopiperidine-2-carboxylic acid","HMDB0061705","3014237","87998",NA,NA,"OC(=O)C1CCCC(O)=N1","1"
"N-delta-acetylornithine","N5-Acetylornithine","HMDB0240589","193343","44673",NA,NA,"CC(=O)NCCC[C@H](N)C(O)=O","1"
"acisoga","NA","NA","NA","NA","NA","NA","NA","0"
"2-aminoheptanoate","NA","NA","NA","NA","NA","NA","NA","0"
"1-eicosapentaenoyl-GPE (20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"N2,N5-diacetylornithine","N2,N5-Diacetylornithine","HMDB0240345","65977","133217",NA,NA,"CC(=O)NCCC[C@H](NC(C)=O)C(O)=O","1"
"methionine sulfone","Methionine sulfone",NA,"445282",NA,NA,NA,NA,"1"
"cyclo(ala-pro)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linolenoyl-GPC (18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-eicosapentaenoyl-GPC (20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-eicosenoyl-GPC (20:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-dihomo-linolenoyl-GPE (20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-oleoyl)-GPE (P-18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"O-sulfo-L-tyrosine","O-Sulfotyrosine","HMDB0155722","514186","46215",NA,NA,"N[C@@H](CC1=CC=C(OS(O)(=O)=O)C=C1)C(O)=O","1"
"etiocholanolone glucuronide","Etiocholanolone glucuronide","HMDB0004484","443078","37451","C11136","7064","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O","1"
"N-acetyltaurine","N-Acetyltaurine","HMDB0240253","159864","84415",NA,NA,"CC(=O)NCCS(O)(=O)=O","1"
"1-docosapentaenoyl-GPC (22:5n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-GPG (16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"9-hydroxystearate","NA","NA","NA","NA","NA","NA","NA","0"
"3-methylglutarylcarnitine (2)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/14:0, d18:1/14:1)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/24:1, d18:2/24:0)","NA","NA","NA","NA","NA","NA","NA","0"
"octadecenedioylcarnitine (C18:1-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"myristoleoylcarnitine (C14:1)","NA","NA","NA","NA","NA","NA","NA","0"
"N-formylphenylalanine","N-Formylphenylalanine","HMDB0240317","759256","133534",NA,NA,"OC(=O)[C@H](CC1=CC=CC=C1)NC=O","1"
"cyclo(pro-val)","Cyclo(L-prolyl-L-valyl)","HMDB0240493","6992261",NA,NA,NA,"[H][C@@]12CCCN1C(=O)[C@@]([H])(N=C2O)C(C)C","1"
"4-hydroxychlorothalonil","4-Hydroxychlorothalonil","HMDB0240624","34217","133542",NA,NA,"OC1=C(C#N)C(Cl)=C(C#N)C(Cl)=C1Cl","1"
"tyramine O-sulfate","Tyramine-O-sulfate","HMDB0006409","153005","133530",NA,NA,"NCCC1=CC=C(OS(O)(=O)=O)C=C1","1"
"3-hydroxypyridine sulfate","3-Hydroxypyridine sulfate","HMDB0240652","22642043","133559",NA,NA,"OS(=O)(=O)OC1=CN=CC=C1","1"
"phenylacetylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"arabonate/xylonate","NA","NA","NA","NA","NA","NA","NA","0"
"methyl-4-hydroxybenzoate sulfate","Methyl-4-hydroxybenzoate sulfate","HMDB0168668","122164837","133532",NA,NA,"COC(=O)C1=CC=C(OS(O)(=O)=O)C=C1","1"
"vanillactate","Vanillactic acid","HMDB0000913","160637","1240674",NA,"5868","COC1=CC(CC(O)C(O)=O)=CC=C1O","1"
"p-cresol glucuronide","p-Cresol glucuronide","HMDB0011686","154035","87986",NA,NA,"CC1=CC=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C1","1"
"6-hydroxyindole sulfate","6-Hydroxyindole sulfate",NA,"122198196",NA,NA,NA,NA,"1"
"sphingomyelin (d18:1/20:0, d16:1/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/20:1, d18:2/20:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)","NA","NA","NA","NA","NA","NA","NA","0"
"behenoyl sphingomyelin (d18:1/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)","NA","NA","NA","NA","NA","NA","NA","0"
"lignoceroyl sphingomyelin (d18:1/24:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)","NA","NA","NA","NA","NA","NA","NA","0"
"dopamine 3-O-sulfate","Dopamine 3-O-sulfate","HMDB0006275","122136","37946","C13690",NA,"NCCC1=CC(OS(O)(=O)=O)=C(O)C=C1","1"
"3-hydroxyhexanoate","3-hydroxyhexanoic acid","HMDB0061652","11829482","37049",NA,NA,"CCC[C@H](O)CC(O)=O","1"
"3beta-hydroxy-5-cholestenoate","3 beta-Hydroxy-5-cholestenoate","HMDB0012453","53481407",NA,"C17333",NA,"C[C@H](CCCC(C)C(=O)O)C1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","1"
"3-methoxycatechol sulfate (1)","NA","NA","NA","NA","NA","NA","NA","0"
"C-glycosyltryptophan","C-Glycosyltryptophan",NA,"21775807",NA,NA,NA,NA,"1"
"arabitol/xylitol","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetylglucosamine/N-acetylgalactosamine","NA","NA","NA","NA","NA","NA","NA","0"
"adipoylcarnitine (C6-DC)","NA","NA","NA","NA","NA","NA","NA","0"
"nonanoylcarnitine (C9)","NA","NA","NA","NA","NA","NA","NA","0"
"glycochenodeoxycholate 3-sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"glycodeoxycholate 3-sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"taurodeoxycholic acid 3-sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"trans-3,4-methyleneheptanoate","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl ethanolamide","Linoleoyl ethanolamide","HMDB0012252","5283446","64032",NA,NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCO","1"
"1,2-dilinoleoyl-GPC (18:2/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"2-hydroxybutyrate/2-hydroxyisobutyrate","NA","NA","NA","NA","NA","NA","NA","0"
"oleate/vaccenate (18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl dihydrosphingomyelin (d18:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"tricosanoyl sphingomyelin (d18:1/23:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:2/24:1, d18:1/24:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"gamma-tocopherol/beta-tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-oleoyl-GPC (O-16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)","NA","NA","NA","NA","NA","NA","NA","0"
"behenoyl dihydrosphingomyelin (d18:0/22:0)","NA","NA","NA","NA","NA","NA","NA","0"
"sphingomyelin (d18:0/18:0, d19:0/17:0)","NA","NA","NA","NA","NA","NA","NA","0"
"N-palmitoyl-sphinganine (d18:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-oleoyl-GPC (17:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-linoleoyl-GPC (17:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"myristoyl dihydrosphingomyelin (d18:0/14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-oleoyl-GPI (16:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-2-docosahexaenoyl-GPC (18:2/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-linoleoyl-GPC (14:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-adrenoyl-GPC (16:0/22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-adrenoyl-GPC (18:0/22:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-GPC (O-18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-linoleoyl-GPG (18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"thioproline","Thioproline",NA,"93176",NA,NA,NA,NA,"1"
"palmitoylcholine","Palmitoylcholine","HMDB0240592","151731","133677",NA,NA,"CCCCCCCCCCCCCCCC(=O)OCC[N+](C)(C)C","1"
"glycochenodeoxycholate glucuronide (1)","NA","NA","NA","NA","NA","NA","NA","0"
"(S)-3-hydroxybutyrylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"oleoylcholine","Oleoylcholine","HMDB0240596","59040790","133693",NA,NA,"CCCCCCCC\C=C/CCCCCCCC(=O)OCC[N+](C)(C)C","1"
"arachidonoylcholine","Arachidonoylcholine","HMDB0240583","122198216","133694",NA,NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OCC[N+](C)(C)C","1"
"docosahexaenoylcholine","Docosahexaenoylcholine","HMDB0240647","9823108",NA,NA,NA,"CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC[N+](C)(C)C","1"
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)","NA","NA","NA","NA","NA","NA","NA","0"
"phosphatidylcholine (18:0/20:2, 20:0/18:2)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)","NA","NA","NA","NA","NA","NA","NA","0"
"1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-GPE (P-18:0/20:3)","NA","NA","NA","NA","NA","NA","NA","0"
"hexadecadienoate (16:2n6)","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoleoylcarnitine (C16:1)","NA","NA","NA","NA","NA","NA","NA","0"
"4-hydroxyphenylacetylglutamine","4-Hydroxyphenylacetylglutamine","HMDB0006061","61152160","28036","C05595",NA,"OC(=O)CC[C@H](NC(=O)CC1=CC=C(O)C=C1)C(O)=O","1"
"2,3-dihydroxy-2-methylbutyrate","NA","NA","NA","NA","NA","NA","NA","0"
"2'-O-methylcytidine","2'-O-Methylcytidine",NA,"150971",NA,NA,NA,NA,"1"
"2'-O-methyluridine","2'-O-Methyluridine",NA,"102212",NA,NA,NA,NA,"1"
"gamma-glutamyl-alpha-lysine","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-oleoyl-glycerol (16:0/18:1) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-oleoyl-glycerol (18:1/18:1)  [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-oleoyl-glycerol (18:1/18:1) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]","NA","NA","NA","NA","NA","NA","NA","0"
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])","NA","NA","NA","NA","NA","NA","NA","0"
"linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]","NA","NA","NA","NA","NA","NA","NA","0"
"perfluorooctanesulfonate (PFOS)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-stearoyl-GPC (O-16:0/18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
"1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)","NA","NA","NA","NA","NA","NA","NA","0"
